statDate,q1,q2,auto,geo,gender,age,poll
18.12.19 15:45,Авто ру,auto·ru,Нет,в Челябинске,Мужчина,18-24 лет,chel01
18.12.19 15:45,Иж-лада,avito·ru,"Да, я его вожу",В Ижевске,Мужчина,менее 18 лет,chel01
18.12.19 15:47,Авто ру авито юла ,"auto·ru, avito·ru","Да, я его вожу",в Челябинской области,Мужчина,35-44 лет,chel01
18.12.19 15:48,Авито,avito·ru,"Да, я его вожу",Ивановская,Мужчина,51 и более лет,chel01
18.12.19 15:50,Дром. Ну авто ну авито,"drom·ru, auto·ru","Да, я его вожу",в Челябинской области,Мужчина,51 и более лет,chel01
18.12.19 15:52,Авто ру ,auto·ru,"Да, но я его не вожу",Тюмен,Мужчина,25-34 лет,chel01
18.12.19 15:52,"Авито, дром, авто ру","drom·ru, auto·ru, avito·ru",Нет,в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 15:55,Авито,avito·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 15:56,Авито,"auto·ru, avito·ru",Нет,в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 16:01,Авито,avito·ru,"Да, я его вожу",в Челябинской области,Мужчина,25-34 лет,chel01
18.12.19 16:02,Дром.ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 16:03,"Авито, авто ру ","auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 16:09,дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Ханты-Мансийск,Мужчина,45-50 лет,chel01
18.12.19 16:11,дром,"drom·ru, auto·ru, avito·ru","Да, я его вожу",Ханты-Мансийск,Мужчина,45-50 лет,chel01
18.12.19 16:17,Авито,avito·ru,"Да, я его вожу",Пермь,Мужчина,35-44 лет,chel01
18.12.19 16:21,"Авито, Авито авто ","auto·ru, avito·ru","Да, но я его не вожу",Оренбург,Мужчина,18-24 лет,chel01
18.12.19 16:22,U,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
18.12.19 16:27,Автору,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
18.12.19 16:31,Авто. Ру,auto·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
18.12.19 16:35,Авито,auto·ru,"Да, но я его не вожу",в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 16:36,Авто.ру,auto·ru,Нет,в Челябинске,Мужчина,менее 18 лет,chel01
18.12.19 16:36,Авито,avito·ru,"Да, я его вожу",Ижевск,Мужчина,35-44 лет,chel01
18.12.19 16:39,Да,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
