statDate,q1,q2,auto,geo,gender,age,poll
19.12.19 05:06,Никаких,auto·ru,"Да, я его вожу",в Челябинске,Женщина,45-50 лет,chel01
19.12.19 05:15,"Auto.ru, Drom.ru",auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 05:42,Drom. Ru,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 05:42,Drom. Ru,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 05:44,Дром,drom·ru,Нет,в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 05:45,Авито,avito·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 06:01,Drom.ru Auto.ru Avito,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 06:22,BMW,"drom·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 06:34,drom.ru,drom·ru,"Да, я его вожу",в Челябинске,Мужчина,51 и более лет,chel01
19.12.19 06:40,Drom.RU,drom·ru,"Да, но я его не вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 06:44,"Авито, ебай","drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 06:45,"Авито, ебай","drom·ru, auto·ru, avito·ru","Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 07:08,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 07:08,Авито,avito·ru,"Да, я его вожу",в Челябинске,Женщина,35-44 лет,chel01
19.12.19 09:49,дром.ру,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 10:13,Авто. Ру. Дром ру авито,"drom·ru, auto·ru","Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 10:48,Авито,avito·ru,"Да, я его вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 10:54,Дром и автору,"drom·ru, auto·ru, avito·ru","Да, я его вожу",в Челябинске,Мужчина,25-34 лет,chel01
19.12.19 11:02,Дром ю. Ру. ,drom·ru,Нет,в Челябинске,Мужчина,35-44 лет,chel01
19.12.19 11:32,Авито,avito·ru,"Да, но я его не вожу",в Челябинске,Мужчина,45-50 лет,chel01
19.12.19 11:59,"Автору, Дром",auto·ru,"Да, я его вожу",в Челябинске,Мужчина,35-44 лет,chel01
